"Time [ms]","InducedVoltage(Winding1) [V]","InducedVoltage(Winding2) [V]","InducedVoltage(Winding3) [V]","InputCurrent(Winding1) [kA]","InputCurrent(Winding2) [kA]","InputCurrent(Winding3) [kA]"
0,-401.303,542.632,-175.907,-0.709132008387284,1.03255986929775,-0.323427860910464
1,-442.286542181439,506.812786013469,-89.7333138861782,-0.808535341319465,0.992935477225034,-0.184400135905569
2,-483.27052320232,470.993978592158,-3.55951580329084,-0.893069065662248,0.935050211265512,-0.0419811456032634
3,-487.308512659384,447.730673996478,25.8548513288765,-0.961178538928975,0.859968627541745,0.10120991138723
4,-518.408567461724,396.684237670122,123.375324093478,-1.01161117368537,0.769071536149706,0.242539637535661
5,-534.71878498466,340.344323728487,199.199510272481,-1.04343947362961,0.664030606961868,0.379408866667741
6,-545.172551491846,294.060797272961,268.392432860851,-1.05607809098771,0.546777626287463,0.509300464700246
7,-535.616789011696,229.232926750283,324.565353164446,-1.04929459152504,0.419468969784385,0.629825621740657
8,-523.458075200015,152.295431764789,390.037113536232,-1.02321372919697,0.284445944994185,0.738767784202781
9,-499.608341884307,90.2890012275588,439.284959941366,-0.978315151824266,0.144191732832506,0.834123418991761
10,-472.815488607903,8.78088380976738,474.653886586038,-0.915424579987894,0.00128571991521943,0.914138860072675
11,-429.644190131319,-68.1788910923116,508.010648120185,-0.835698621370135,-0.14164393841485,0.977342559784985
12,-387.282213438555,-143.095749980681,532.070354600112,-0.740603499818578,-0.281968651956912,1.02257215177549
13,-334.626290339429,-215.039718022944,536.773903466815,-0.631888090322318,-0.417107737518586,1.0489958278409
14,-273.902918508015,-288.875102967076,539.216222580997,-0.511551755808654,-0.544575879734246,1.0561276355429
15,-206.096195372286,-344.597114320166,535.830373762424,-0.381807577267194,-0.662028837993124,1.04383641526032
16,-139.807369756063,-399.008014265725,516.505959204044,-0.245041653428658,-0.767306558890346,1.01234821231901
17,-67.2315434495352,-451.807723792229,493.280880851694,-0.103769218509684,-0.858472901328642,0.962242119838326
18,11.4080295310837,-487.381474985448,458.368695879056,0.0394116149467606,-0.933851243694448,0.894439628747688
19,90.0114956678282,-515.489492505016,418.449433535593,0.181867637429354,-0.992055318264122,0.810187680834768
20,164.538934877255,-528.642532765137,369.874332966137,0.320978969277597,-1.03201470577096,0.711035736493361
21,237.122582070703,-539.987026077004,315.777085322696,0.454187242354411,-1.05299452126765,0.598807278913243
22,300.5620881594,-539.153374552428,257.746973337411,0.579042650472858,-1.05460892924552,0.475566278772659
23,367.761275474415,-528.692283604756,185.87736380729,0.693249003282175,-1.03682823945663,0.343579236174454
24,421.138091365724,-512.426798184616,118.583131253466,0.794705955036277,-0.999979452941141,0.205273497904864
25,464.567341558591,-480.251476391103,44.8673296587954,0.881547631624091,-0.944740248217824,0.0631926165937325
26,496.060876283661,-447.068415596109,-40.2568652799724,0.952176945479846,-0.87212651823662,-0.0800504272432262
27,517.047335640118,-411.06555029314,-109.07154040273,1.00529496729483,-0.783473687298556,-0.22182127999627
28,537.091084086894,-351.300097582741,-191.171402075352,1.03992481436141,-0.680412151539735,-0.359512662821677
29,541.376440414815,-298.335579478919,-249.312492376654,1.05542961622376,-0.564837294648465,-0.4905923215753
30,537.73492183962,-238.576055467103,-321.044074431749,1.0515242272325,-0.438874630250338,-0.612649596982162
31,524.111330581038,-167.895452658854,-385.101890305824,1.02828047060019,-0.304840712020573,-0.723439758579614
32,505.729811170345,-97.0547713570862,-427.852788867433,0.986125817515291,-0.165200530417755,-0.820925287097537
33,474.516575466609,-18.0095470544872,-470.090864239552,0.925835525606714,-0.0225221795469561,-0.903313346059758
34,439.272389088113,52.7516308588369,-502.622623319671,0.848518381338826,0.120570372135272,-0.969088753474098
35,389.593909781258,131.060876346321,-528.330283658509,0.755596308545703,0.261445538689715,-1.01704184723542
36,335.96962569176,204.062519612493,-534.593607913727,0.64877821811984,0.397512513654889,-1.04629073177473
37,284.874529252019,277.645878231783,-542.620833553957,0.530028579780406,0.526268917040359,-1.05629749682077
38,218.861232862396,337.810737793887,-534.389818514146,0.401531293911221,0.645346816086878,-1.0468781099981
39,149.632430512681,395.54066716228,-520.455980656252,0.265649527894131,0.752556273434897,-1.01820580132903
40,68.0688607289683,440.407292516409,-498.311831352974,0.124882255579569,0.84592562181599,-0.970807877395559
41,3.38857585564778,483.183287263435,-462.638284805487,-0.0181817008319413,0.923737724583528,-0.905556023751587
42,-78.9614447596514,511.54878721796,-420.190538965616,-0.16091128129098,0.9845615552226,-0.82365027393162
43,-150.425082023764,532.276643409852,-383.098484367202,-0.300681575188085,1.02727851506684,-0.726596939878753
44,-228.598139869622,540.090301708002,-323.664216614781,-0.43492209554951,1.05110300521839,-0.616180909668882
45,-290.445656086136,536.003732341034,-263.96388577445,-0.561164052338998,1.05559687433707,-0.494432821998068
46,-354.323293252376,527.361599543317,-207.642263669617,-0.677085755471912,1.04067747659227,-0.363591721120356
47,-413.564741526698,517.340411403608,-130.184493632716,-0.780555312544156,1.00661919158563,-0.226063879041469
48,-455.247214578741,485.931070913811,-52.0247315928075,-0.869669836030651,0.954048378291691,-0.0843785422610394
49,-489.830665051077,455.710183964482,21.3346395511511,-0.942790438901779,0.883931855817751,0.0588585830840289
50,-514.428155861158,413.996903918464,99.0059972902704,-0.998572375060556,0.797559122830786,0.20101325222977
51,-530.707948009311,362.304715431191,176.341465296499,-1.03598977029388,0.696518642650429,0.339471127643452
52,-546.167459852154,307.418276547586,247.141933672884,-1.054354488916,0.582668630143966,0.471685858772037
53,-536.586590734986,246.247430118894,312.121578711968,-1.05332878913159,0.458102877675634,0.595225911455954
54,-525.345869472516,180.26028303046,371.446314285964,-1.03293153437622,0.3251122485982,0.707819285778015
55,-508.338403708379,107.296749588585,428.759902775337,-0.993537846402781,0.186142546452193,0.807395299950588
56,-479.046900357519,32.0996735418682,465.565367397783,-0.935872206493821,0.0437495346917149,0.892122671802106
57,-441.828114559187,-44.2721998534417,499.805428429795,-0.86099513167399,-0.0994480658400739,0.960443197514064
58,-398.531718887628,-124.588605055729,524.755831336738,-0.770283670957711,-0.24081673727199,1.0111004082297
59,-352.019245507951,-191.675458000525,539.113699295976,-0.665406080321552,-0.377756597194979,1.04316267751653
60,-290.261352641421,-265.979740093097,539.352897934126,-0.548291142148747,-0.507749212569345,1.05604035471809
61,-225.517469794847,-331.356502442791,538.226803174738,-0.421092693385694,-0.628403915713231,1.04949660909893
62,-159.538024847819,-384.019789719285,524.788879358958,-0.286150014765871,-0.737501770584471,1.02365178535034
63,-87.9940577229426,-441.311630151231,502.007900363629,-0.145944809574883,-0.833036380780863,0.978981190355746
64,-8.58855459768204,-476.125342580546,470.32294774082,-0.00305556315139831,-0.913250788767262,0.91630635191866
65,68.8814516781493,-506.758236843519,428.329201545958,0.139889877510927,-0.976669787723343,0.836779910212416
66,141.123796900189,-526.848974189179,386.850295012444,0.28026263196165,-1.02212705177142,0.741864419809767
67,211.935317160107,-536.113706516112,330.326054202277,0.415481133497835,-1.04878658563781,0.633305452139975
68,279.508227657649,-540.190147529137,270.281217532853,0.543058606230862,-1.05615809927148,0.513099493040615
69,348.252183962469,-533.352566943482,210.926380827698,0.660648798874711,-1.04410602466834,0.383457225793634
70,406.592065874427,-516.952645024893,146.022160258713,0.76608913417492,-1.01285200907484,0.246762874899916
71,443.436485980907,-492.215687507395,59.284583590145,0.857440480425892,-0.962970838718556,0.105530358292663
72.0000000000001,486.57021007443,-460.396866516547,-12.2600798833519,0.933022813646671,-0.895379868031989,-0.0376429456146832
73.0000000000001,515.580407509894,-420.274028185803,-91.9351342151655,0.991446114559396,-0.81132214877419,-0.180123965785206
74.0000000000001,531.566297791323,-371.337588628394,-162.740880434773,1.03163593215039,-0.712343569319368,-0.319292362831024
75.0000000000001,539.170259329668,-317.29451995797,-234.455291383873,1.05285314367966,-0.600264424539018,-0.452588719140647
76.0000000000001,538.776309501453,-261.944928076913,-300.463628809944,1.0547075477365,-0.47714593913013,-0.577561608606367
77.0000000000001,531.692930844069,-186.850572617478,-364.703161018255,1.03716504035402,-0.345252360052108,-0.691912680301913
78.0000000000001,513.57917025002,-118.662138831666,-415.056981142278,1.00054824220832,-0.207009315222641,-0.793538926985678
79.0000000000001,477.908782328427,-42.2045629292169,-459.49159394068,0.94553056536736,-0.064959204289302,-0.880571361078058
80.0000000000001,451.545690988885,28.6706530578895,-496.446771285681,0.873123828706974,0.0782855581239412,-0.951409386830916
81.0000000000001,409.366921837819,106.791905892887,-520.340464299712,0.784659649756236,0.220090586801356,-1.00475023655759
82.0000000000001,353.805832862521,190.607054157041,-531.91282720047,0.681764955191018,0.357847974376768,-1.03961292956779
83.0000000000001,300.201185229292,255.595701458684,-540.498808580516,0.566332060357257,0.489024252826129,-1.05535631318339
84.0000000000001,242.389531782686,320.771498140722,-542.54088047971,0.440483868085295,0.611206985961343,-1.05169085404664
85.0000000000001,165.58246432611,381.167441895664,-528.168166084858,0.30653482681682,0.722149136052261,-1.02868396286908
86.0000000000001,92.8556851043667,432.559224977626,-500.683812807944,0.166948366055531,0.819810388639371,-0.986758754694902
87.0000000000001,21.9104470232256,473.2431763488,-473.024828160915,0.024291591937457,0.902394675540979,-0.926686267478436
88.0000000000001,-51.1509958499792,503.747925601127,-444.083562587033,-0.118811923894509,0.968383205976886,-0.849571282082378
89.0000000000001,-129.70619956331,528.331125983816,-392.937953699356,-0.259730393861712,1.01656239833992,-0.75683200447821
90.0000000000001,-212.178173435423,537.524214375124,-330.854182258642,-0.395872215118432,1.04604619892782,-0.650173983809386
91.0000000000001,-275.117207789352,532.463323320221,-276.343771560341,-0.524733631191352,1.05629237717616,-0.531558745984813
92.0000000000001,-325.262022637244,545.540654423807,-238.110202046801,-0.643944778054298,1.04711249771015,-0.403167719655849
93.0000000000001,-391.209991218001,518.812740578857,-157.387121149335,-0.751313267814308,1.01867538582111,-0.267362118006802
94.0000000000001,-455.02654363119,488.378318329861,-60.667993305775,-0.844864508470292,0.971504022635034,-0.126639514164743
95.0000000000001,-490.342591053513,469.50947265324,3.21676728110809,-0.922878018231882,0.906465927073312,0.0164120911585707
96.0000000000001,-497.423408180101,428.584788522315,66.5717003366684,-0.983919066549213,0.824757201489148,0.159161865060065
97.0000000000001,-529.689214800351,372.616358205714,157.492382958926,-1.02686505994989,0.727880534393093,0.298984525556795
98.0000000000001,-538.526807303716,321.814502947757,227.743486880415,-1.05092618742663,0.617617564815066,0.43330862261156
99.0000000000001,-539.994882494151,268.568831355277,292.706236600924,-1.05565994569044,0.495996116544258,0.559663829146179
100,-533.698485108035,197.634059872368,350.70914999281,-1.04097927715838,0.365252904835341,0.675726372323036
